Cluster,m/z_ion_center,DT_center,Retention Time (sec)_center,Peak Intensity,Amplitude_mz,Amplitude_dt,Amplitude_rt,Sigma_rt
184,674.3613448596716,2.652314914503111,16.87699999998,752.0,752.0,794.8409151515325,752.0,0.0
185,244.16012227239852,2.77315,20.688499999999998,1186.0,1186.0,1298.0370259781123,1349.8656484472324,2.497244367078462
186,217.13489839906964,2.8729004432011234,16.87699999998,321.0,321.0,321.00000101778454,321.0,0.0
187,674.3793967947164,3.027351834250836,19.097874036681755,1270.0,1270.0,1218.147854458064,1270.0,2.5409999999999986
188,674.3793967947164,3.112304,16.87699999998,73.0,73.0,73.0,73.0,0.0
189,229.163806943731,3.7108004197052407,16.87699999998,279.0,279.0,279.0000005327366,279.0,0.0
190,827.4270068800812,4.0499853333335,18.15330136009769,438.0,438.0,438.0,438.0,1.2704999999999984
191,827.4170090356425,4.130003235126683,18.438623733156327,921.0,921.0,1020.8971206333134,939.1354622735628,4.959303310395486
192,244.18184673717997,4.428946884232337,16.87699999998,3.0,3.0,3.0000000055848552,3.0,0.0
193,244.19270933198962,4.548800000000896,16.87699999998,45.0,45.0,45.000000115658956,45.0,0.0
194,244.19814073655297,4.704432010753872,16.87699999998,66.0,66.0,66.1257214180384,66.0,0.0
195,652.4202799615476,4.907779631330643,19.221722371761192,3353.0,3353.0,3462.1908082137234,3353.0,2.5409999999999986
196,652.393646627354,5.047580242705962,19.457212986945965,648.0,648.0,648.0,648.0,2.5409999999999986
197,229.1480225038135,5.177905239344869,18.682010256522872,2907.0,2907.0,2897.1796364525226,2907.0,2.5409999999999986
198,244.1764155469356,5.665999999999997,19.404626315769473,190.0,190.0,189.40625000002063,190.0,2.5409999999999986
199,244.1221068011137,5.745802454096358,16.87699999998,159.0,159.0,159.00000007839157,159.0,0.0
200,244.1329680670528,5.965249999999996,16.87699999998,719.0,719.0,799.2173228743562,719.0,0.0
201,244.12210680111372,5.990993296923836,20.137412013357313,1653.0,1653.0,1653.0,1653.0,2.1598499999999987
202,244.20900369378057,6.34429649157673,16.87699999998,45.0,45.0,45.0000000393334,45.0,0.0
203,244.214435246447,6.464000003405596,16.87699999998,75.0,75.0,75.00000007511267,75.0,0.0
204,244.17098438398293,6.583700155253641,16.87699999998,222.0,222.0,222.0000002614641,222.0,0.0
205,652.4291578201638,6.942774942877013,19.4351689284671,444.0,444.0,443.82240078299407,444.0,2.5409999999999986
206,229.15328393533702,7.048816644046223,16.87699999998,381.0,381.0,381.0,381.0,0.0
207,229.14802250381354,7.097250159915689,18.452419994629384,400.0,400.0,400.0,400.0,2.2868999999999993
208,229.14276116855535,7.156611014911015,17.258054223698718,1165.0,1165.0,1201.198703672713,1164.906873303756,5.750658602882513
209,652.4291578201639,7.501450666666999,19.58783975023085,42.0,42.0,42.0,42.00000003708741,49470.721261706094
210,244.12210680111374,7.696747913260515,19.35129112852065,1257.0,1257.0,1272.3951466782946,1257.0,2.5409999999999986
211,244.11667624218745,7.780799850191238,16.87699999998,189.0,189.0,189.00000029703048,189.0,0.0
212,440.27489092490316,7.900499999086365,16.87699999998,39.0,39.0,39.000000048443404,39.0,0.0
213,652.4646699794274,8.020214499825283,18.147499999980003,42.0,42.0,42.00000002322137,42.0,1.2704999999999984
214,652.4025243651413,8.139897890557512,18.1475,954.0,954.0,954.0000006077901,957.3972606066434,15.06799588993686
